;TEMPO;VDS;VG
17494;0.00787275;0.111919;0.53871
17495;0.0078732;0.111919;0.53871
17496;0.00787365;0.111919;0.53871
17497;0.0078741;0.114659;0.533969
17498;0.00787455;0.11487;0.533969
17499;0.007875;0.111919;0.53871
17500;0.00787545;0.111497;0.53871
17501;0.0078759;0.111919;0.53871
17502;0.00787635;0.111919;0.53871
17503;0.0078768;0.111919;0.53871
17504;0.00787725;0.111919;0.53871
17505;0.0078777;0.111919;0.53871
17506;0.00787815;0.111076;0.53871
17507;0.0078786;0.111919;0.53871
17508;0.00787905;0.111919;0.53871
17509;0.0078795;0.111919;0.53871
17510;0.00787995;0.111919;0.53871
17511;0.0078804;0.111919;0.53871
17512;0.00788085;0.111919;0.53871
17513;0.0078813;0.111919;0.53871
17514;0.00788175;0.110865;0.53871
17515;0.0078822;0.11213;0.53871
17516;0.00788265;0.11234;0.53871
17517;0.0078831;0.110443;0.53871
17518;0.00788355;0.111497;0.53871
17519;0.007884;0.111919;0.53871
17520;0.00788445;0.111919;0.53871
17521;0.0078849;0.111919;0.53871
17522;0.00788535;0.111497;0.53871
17523;0.0078858;0.11213;0.53871
17524;0.00788625;0.111919;0.53871
17525;0.0078867;0.111919;0.53871
17526;0.00788715;0.111919;0.53871
17527;0.0078876;0.111919;0.53871
17528;0.00788805;0.111919;0.53871
17529;0.0078885;0.111919;0.53871
17530;0.00788895;0.111919;0.53871
17531;0.0078894;0.111919;0.53871
17532;0.00788985;0.11234;0.53871
17533;0.0078903;0.114027;0.53871
17534;0.00789075;0.112973;0.53871
17535;0.0078912;0.111287;0.53871
17536;0.00789165;0.111708;0.53871
17537;0.0078921;0.111497;0.53871
17538;0.00789255;0.110654;0.53871
17539;0.007893;0.111497;0.53871
17540;0.00789345;0.111919;0.53871
17541;0.0078939;0.111497;0.53871
17542;0.00789435;0.111708;0.53871
17543;0.0078948;0.111919;0.535747
17544;0.00789525;0.111708;0.536932
17545;0.0078957;0.111919;0.536932
17546;0.00789615;0.111708;0.533376
17547;0.0078966;0.110022;0.537525
17548;0.00789705;0.111287;0.533376
17549;0.0078975;0.111919;0.538117
17550;0.00789795;0.111497;0.53871
17551;0.0078984;0.110443;0.53871
17552;0.00789885;0.111287;0.53871
17553;0.0078993;0.111287;0.53871
17554;0.00789975;0.110233;0.53871
17555;0.0079002;0.111076;0.53871
17556;0.00790065;0.111919;0.53871
17557;0.0079011;0.111919;0.53871
17558;0.00790155;0.111919;0.53871
17559;0.007902;0.111076;0.53871
17560;0.00790245;0.110022;0.53871
17561;0.0079029;0.110022;0.53871
17562;0.00790335;0.110022;0.53871
17563;0.0079038;0.110022;0.53871
17564;0.00790425;0.110022;0.53871
17565;0.0079047;0.110443;0.53871
17566;0.00790515;0.110233;0.535154
17567;0.0079056;0.110022;0.533969
17568;0.00790605;0.106017;0.53871
17569;0.0079065;0.105174;0.53871
17570;0.00790695;0.111076;0.53871
17571;0.0079074;0.11234;0.53871
17572;0.00790785;0.111076;0.53871
17573;0.0079083;0.110022;0.53871
17574;0.00790875;0.111076;0.53871
17575;0.0079092;0.110865;0.53871
17576;0.00790965;0.110022;0.53871
17577;0.0079101;0.110022;0.53871
17578;0.00791055;0.111287;0.538117
17579;0.007911;0.111919;0.534561
17580;0.00791145;0.110865;0.53871
17581;0.0079119;0.111708;0.53871
17582;0.00791235;0.111919;0.53871
17583;0.0079128;0.111919;0.53871
17584;0.00791325;0.110443;0.53871
17585;0.0079137;0.110022;0.53871
17586;0.00791415;0.110022;0.53871
17587;0.0079146;0.111076;0.53871
17588;0.00791505;0.111919;0.53871
17589;0.0079155;0.111919;0.53871
17590;0.00791595;0.111919;0.53871
17591;0.0079164;0.111919;0.53871
17592;0.00791685;0.111919;0.53871
17593;0.0079173;0.111708;0.53871
17594;0.00791775;0.111919;0.53871
17595;0.0079182;0.111919;0.53871
17596;0.00791865;0.111919;0.53871
17597;0.0079191;0.111497;0.53871
17598;0.00791955;0.111919;0.53871
17599;0.00792;0.111497;0.53871
17600;0.00792045;0.111497;0.53871
17601;0.0079209;0.111076;0.53871
17602;0.00792135;0.111708;0.53871
17603;0.0079218;0.110022;0.53871
17604;0.00792225;0.108336;0.53871
17605;0.0079227;0.110654;0.53871
17606;0.00792315;0.111919;0.53871
17607;0.0079236;0.111919;0.53871
17608;0.00792405;0.111919;0.53871
17609;0.0079245;0.111919;0.53871
17610;0.00792495;0.111919;0.53871
17611;0.0079254;0.111708;0.53871
17612;0.00792585;0.110654;0.53871
17613;0.0079263;0.110233;0.53871
17614;0.00792675;0.111919;0.53871
17615;0.0079272;0.111919;0.53871
17616;0.00792765;0.111919;0.53871
17617;0.0079281;0.111919;0.53871
17618;0.00792855;0.111076;0.53871
17619;0.007929;0.110022;0.53871
17620;0.00792945;0.111287;0.537525
17621;0.0079299;0.111497;0.53871
17622;0.00793035;0.111919;0.53871
17623;0.0079308;0.111919;0.53871
17624;0.00793125;0.111919;0.53871
17625;0.0079317;0.111919;0.53871
17626;0.00793215;0.111919;0.53871
17627;0.0079326;0.11213;0.53871
17628;0.00793305;0.111497;0.53871
17629;0.0079335;0.11234;0.53871
17630;0.00793395;0.113816;0.53871
17631;0.0079344;0.112762;0.53871
17632;0.00793485;0.110865;0.53871
17633;0.0079353;0.111919;0.53871
17634;0.00793575;0.111919;0.53871
17635;0.0079362;0.111919;0.53871
17636;0.00793665;0.111919;0.53871
17637;0.0079371;0.111919;0.53871
17638;0.00793755;0.11213;0.53871
