t;vds;corrente;vg;RES_MED
0.00832;0.0195037;0.0350735;0.302994;2780.404009
0.00834;0.0194742;0.0351949;0.322937;2766.622437
0.00836;0.0194055;0.0381139;0.34208;2545.724788
0.00838;0.0195356;0.0349422;0.361335;2795.416431
0.0084;0.0195643;0.0352247;0.381682;2777.071203
0.00842;0.0195691;0.0343771;0.401754;2846.240666
0.00844;0.019546;0.0326918;0.420771;2989.434659
0.00846;0.0195404;0.0384243;0.440557;2542.713856
0.00848;0.0193433;0.0376602;0.460468;2568.135591
0.0085;0.0195268;0.0348884;0.480875;2798.465966
0.00852;0.0195882;0.0321227;0.501957;3048.965373
0.00854;0.0195459;0.0344726;0.521646;2834.990688
0.00856;0.0195515;0.0369638;0.542695;2644.682094
0.00858;0.0194845;0.0397813;0.56291;2448.952146
0.0086;0.0196114;0.0351272;0.582888;2791.483523
0.00862;0.0195531;0.0360306;0.602257;2713.401942
0.00864;0.0194;0.0374055;0.621305;2593.201535
0.00866;0.0194407;0.0391147;0.641217;2485.088726
0.00868;0.0195053;0.0443577;0.661396;2198.637441
0.0087;0.0194582;0.0414785;0.679984;2345.576624
0.00872;0.0195164;0.0405036;0.700184;2409.217946
0.00874;0.0193058;0.0461047;0.719343;2093.691099
0.00876;0.019459;0.0415144;0.739469;2343.644615
0.00878;0.0194032;0.0465186;0.758824;2085.531379
0.0088;0.0193522;0.0511946;0.777835;1890.062624
0.00882;0.0194678;0.0399027;0.780302;2439.408862
0.00884;0.0195492;0.0455377;0.761171;2146.48522
0.00886;0.019526;0.0435877;0.742153;2239.852068
0.00888;0.0194965;0.0426884;0.722227;2283.582894
0.0089;0.0194383;0.0403245;0.702425;2410.234473
0.00892;0.0194925;0.0419661;0.683538;2322.410231
0.00894;0.0194582;0.0420815;0.663833;2311.966066
0.00896;0.0194965;0.0441349;0.643935;2208.739569
0.00898;0.0195133;0.0354197;0.623307;2754.582902
0.009;0.0194095;0.0373339;0.60456;2599.447151
0.00902;0.0195539;0.0379806;0.584998;2574.195774
0.00904;0.0194008;0.0380741;0.565346;2547.768693
0.00906;0.0195835;0.0353839;0.544231;2767.289643
0.00908;0.0195603;0.0356405;0.523149;2744.111334
0.0091;0.0194183;0.0326321;0.503766;2975.337168
0.00912;0.0195866;0.0359769;0.482814;2722.107797
0.00914;0.0196202;0.0333802;0.463236;2938.89791
0.00916;0.019617;0.0308433;0.442604;3180.107187
0.00918;0.0194941;0.0356844;0.423445;2731.459685
0.0092;0.0195141;0.0328052;0.403229;2974.23884
0.00922;0.019526;0.0337503;0.383747;2892.715028
0.00924;0.0194917;0.0341642;0.363866;2852.64985
0.00926;0.0195404;0.0314362;0.344289;3107.945617
0.00928;0.0195109;0.0335414;0.32513;2908.480266
0.0093;0.0194981;0.0371051;0.304018;2627.415099
0.00932;0.0194718;0.0353083;0.285787;2757.396986
0.00934;0.0194024;0.0354197;0.265649;2738.927772
0.00936;0.0195332;0.0384601;0.247978;2539.410974
0.00938;0.0194941;0.0372105;0.226866;2619.435374
0.0094;0.0194582;0.0370474;0.207273;2626.122211
0.00942;0.0195061;0.0386392;0.18699;2524.133522
0.00944;0.0196313;0.0377;0.167511;2603.62069
0.00946;0.01951;0.0394947;0.148831;2469.951664
0.00948;0.0193728;0.0459138;0.129687;2109.692511
0.0095;0.0193728;0.0465723;0.109439;2079.862923
0.00952;0.0193983;0.0473682;0.0890613;2047.607889
0.00954;0.019514;0.0454481;0.0703181;2146.844423
0.00956;0.0193856;0.0483333;0.0503414;2005.40828
0.00958;0.0192946;0.0508463;0.0308773;1897.34553
0.0096;0.0193561;0.054018;0.0107085;1791.63427
0.00962;0.0193401;0.055174;-0.0080514;1752.646174
0.00964;0.0193433;0.055964;-0.0284922;1728.191337
0.00966;0.0192763;0.0568454;-0.0483888;1695.502187
0.00968;0.0192867;0.0575796;-0.0691494;1674.785862
0.0097;0.0192683;0.0552258;-0.0890303;1744.501664
0.00972;0.0191559;0.0582582;-0.10771;1644.051824
0.00974;0.0192484;0.0585149;-0.127863;1644.743476
0.00976;0.0191917;0.0598102;-0.148591;1604.383533
0.00978;0.0193082;0.0619531;-0.167927;1558.291675
0.0098;0.0191479;0.0644244;-0.186048;1486.075152
0.00982;0.0193242;0.0598957;-0.191728;1613.1542
0.00984;0.0191782;0.0629281;-0.173481;1523.818453
