;subida[VDS];descida[VDS]
2608;0.0623108;0.160228
2609;0.0623108;0.160228
2610;0.0623108;0.160228
2611;0.0618162;0.160228
2612;0.0618162;0.160228
2613;0.0623108;0.160228
2614;0.0623108;0.160228
2615;0.0623108;0.160228
2616;0.0613217;0.160228
2617;0.0613217;0.160228
2618;0.0618163;0.160228
2619;0.0613217;0.160228
2620;0.0618162;0.160228
2621;0.0623108;0.160228
2622;0.0623108;0.160228
2623;0.0623108;0.160228
2624;0.0623108;0.160228
2625;0.0623108;0.160228
2626;0.0618162;0.160228
2627;0.0623108;0.160228
2628;0.0613217;0.160228
2629;0.0623108;0.160228
2630;0.0623108;0.160228
2631;0.0613217;0.160228
2632;0.0618162;0.160228
2633;0.0623108;0.160228
2634;0.0623108;0.160228
2635;0.0623108;0.160228
2636;0.0623108;0.160228
2637;0.0623108;0.160228
2638;0.0623108;0.160228
2639;0.0623108;0.160228
2640;0.0618162;0.160228
2641;0.0623108;0.160228
2642;0.0618162;0.160228
2643;0.0623108;0.160228
2644;0.0623108;0.160228
2645;0.0623108;0.160228
2646;0.0623108;0.160228
2647;0.0623108;0.160228
2648;0.0623108;0.160228
2649;0.0618162;0.160228
2650;0.0618162;0.160228
2651;0.0623108;0.160228
2652;0.0618162;0.160228
2653;0.0623108;0.160228
2654;0.0623108;0.160228
2655;0.0623108;0.160228
2656;0.0623108;0.160228
2657;0.0618162;0.160228
2658;0.0623108;0.160228
2659;0.0618162;0.160228
2660;0.0623108;0.160228
2661;0.0623108;0.160228
2662;0.0623108;0.160228
2663;0.0623108;0.160228
2664;0.0618162;0.160228
2665;0.0623108;0.160228
2666;0.0623108;0.160228
2667;0.0623108;0.160228
2668;0.0623108;0.160228
2669;0.0623108;0.160228
